date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:09	7450/7450	---M-Z	200	added ('OK')	text/html	etag:%226b382193b26d71:0%22	http://zeal360.co.in/360/mallareddyuniversity2/mallareddyuniversity.html	C:/B.Tech_Computer_Science_Engineering/Engineering%20Fourth%20Year/Major%20Project/Proactive_Multimodal_Academic_Support_System/Campus_Tour_Assets/MRU-360-Tour/zeal360.co.in/360/mallareddyuniversity2/mallareddyuniversity.html	(from )
21:40:10	4875/4875	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Jan%202026%2016:10:04%20GMT	http://zeal360.co.in/robots.txt		(from )
21:40:11	30163/30163	---M-Z	200	added ('OK')	text/css	etag:%22633a3ac63b26d71:0%22	http://zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversitydata/lib/jquery-ui-1.11.1/jquery-ui.min.css	C:/B.Tech_Computer_Science_Engineering/Engineering%20Fourth%20Year/Major%20Project/Proactive_Multimodal_Academic_Support_System/Campus_Tour_Assets/MRU-360-Tour/zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversit/jquery-ui.min.3.delaye	(from http://zeal360.co.in/360/mallareddyuniversity2/mallareddyuniversity.html)
21:40:13	17342/17342	---M--	200	added ('OK')	image/jpeg	etag:%227ebd2223b26d71:0%22	http://zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversitydata/thumbnail.jpg	C:/B.Tech_Computer_Science_Engineering/Engineering%20Fourth%20Year/Major%20Project/Proactive_Multimodal_Academic_Support_System/Campus_Tour_Assets/MRU-360-Tour/zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversitydat/thumbnail.1.delaye	(from http://zeal360.co.in/360/mallareddyuniversity2/mallareddyuniversity.html)
21:40:13	1291/1291	---M-Z	200	added ('OK')	application/javascript	etag:%229d3df5343b26d71:0%22	http://zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversitydata/lib/jquery.ui.touch-punch.min.js	C:/B.Tech_Computer_Science_Engineering/Engineering%20Fourth%20Year/Major%20Project/Proactive_Multimodal_Academic_Support_System/Campus_Tour_Assets/MRU-360-Tour/zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversi/jquery.ui.touch-punch.m	(from http://zeal360.co.in/360/mallareddyuniversity2/mallareddyuniversity.html)
21:40:17	17426/17426	---M-Z	200	added ('OK')	application/javascript	etag:%2223f8dcc83b26d71:0%22	http://zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversitydata/lib/Kolor/KolorTools.min.js	C:/B.Tech_Computer_Science_Engineering/Engineering%20Fourth%20Year/Major%20Project/Proactive_Multimodal_Academic_Support_System/Campus_Tour_Assets/MRU-360-Tour/zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversi/KolorTools.min.6.delaye	(from http://zeal360.co.in/360/mallareddyuniversity2/mallareddyuniversity.html)
21:40:17	16866/16866	---M-Z	200	added ('OK')	application/javascript	etag:%22809ed8293b26d71:0%22	http://zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversitydata/graphics/KolorBootstrap.js	C:/B.Tech_Computer_Science_Engineering/Engineering%20Fourth%20Year/Major%20Project/Proactive_Multimodal_Academic_Support_System/Campus_Tour_Assets/MRU-360-Tour/zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversi/KolorBootstrap.7.delaye	(from http://zeal360.co.in/360/mallareddyuniversity2/mallareddyuniversity.html)
21:40:19	766/766	---M--	200	added ('OK')	application/octet-stream	etag:%22f91d8273b26d71:0%22	http://zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversitydata/graphics/cursors_move_html5.cur	C:/B.Tech_Computer_Science_Engineering/Engineering%20Fourth%20Year/Major%20Project/Proactive_Multimodal_Academic_Support_System/Campus_Tour_Assets/MRU-360-Tour/zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversi/cursors_move_html5.8.de	(from http://zeal360.co.in/360/mallareddyuniversity2/mallareddyuniversity.html)
21:40:19	4286/4286	---M--	200	added ('OK')	application/octet-stream	etag:%2297f33273b26d71:0%22	http://zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversitydata/graphics/cursors_drag_html5.cur	C:/B.Tech_Computer_Science_Engineering/Engineering%20Fourth%20Year/Major%20Project/Proactive_Multimodal_Academic_Support_System/Campus_Tour_Assets/MRU-360-Tour/zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversi/cursors_drag_html5.9.de	(from http://zeal360.co.in/360/mallareddyuniversity2/mallareddyuniversity.html)
21:40:21	84245/84245	---MCZ	200	added ('OK')	application/javascript	etag:%228832e5333b26d71:0%22	http://zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversitydata/lib/jquery-2.1.1.min.js	C:/B.Tech_Computer_Science_Engineering/Engineering%20Fourth%20Year/Major%20Project/Proactive_Multimodal_Academic_Support_System/Campus_Tour_Assets/MRU-360-Tour/zeal360.co.in/360/mallareddyuniversity2/MallaReddyUniversi/jquery-2.1.1.min.2.dela	(from http://zeal360.co.in/360/mallareddyuniversity2/mallareddyuniversity.html)
